"Encrypt","加密"
"Encrypt and Decrypt","加密与解密"
"Home Folder","主目录"
"The Parent Folder","上一层目录"
"Refresh The Folder","刷新当前目录"
"Rename","重命名"
"Copy","复制"
"Cut","剪切"
"Paste","粘贴"
"Delete","删除"
"Encrypt","加密"
"Decrypt","解密"
"Hide","隐藏"
"Show","显示"
"Task Status","查看任务状态"
"Settings","用户设置"

"Name","名称"
"Decrypt Name","解密后名称"
"Type","类型"
"Size","大小"
"Date Modified","修改日期"
"Num","序号"


"Rename File or Direcory","重命名文件或目录"
"New Name","新名称"
"Cancel","取消"
"Save","保存"
"Warning","警告"
"Are you sure to delete files and directories?","你确定要删除文件和目录？"
"Are you sure to copy files and directories?","你确定要复制文件和目录？"
"Are you sure to cut files and directories?","你确定要剪切文件和目录？"
"Are you sure to paste files and directories here?","你确定要粘贴文件和目录到当前目录？"
"Encrypt File","加密文件"
"Password","密码"
"Display The Password","显示密码"
"Decrypt File","解密文件"
"Hide File","隐藏文件"
"Show File","显示文件"
"OK","确认"
"Information","信息"
"Language","语言"
"English","英文"
"Chinese","中文"
"Home Path","主目录"
"Status","任务状态"




